Datum;Cas od;Cas do;859182400312449370-859182400306241157;859182400312449370-859182400604806744;859182400611509249-859182400302838511
01.06.2025;00:00;00:15;0,0;0,0;0,0;
01.06.2025;00:15;00:30;0,0;0,0;0,0;
01.06.2025;00:30;00:45;0,0;0,0;0,0;
01.06.2025;00:45;01:00;0,0;0,0;0,0;
01.06.2025;01:00;01:15;0,0;0,0;0,0;
01.06.2025;01:15;01:30;0,0;0,0;0,01;
01.06.2025;01:30;01:45;0,0;0,0;0,0;
01.06.2025;01:45;02:00;0,0;0,0;0,0;
01.06.2025;02:00;02:15;0,0;0,0;0,0;
01.06.2025;02:15;02:30;0,0;0,0;0,0;
01.06.2025;02:30;02:45;0,0;0,0;0,01;
01.06.2025;02:45;03:00;0,0;0,0;0,01;
01.06.2025;03:00;03:15;0,0;0,0;0,0;
01.06.2025;03:15;03:30;0,0;0,0;0,0;
01.06.2025;03:30;03:45;0,0;0,0;0,0;
01.06.2025;03:45;04:00;0,0;0,0;0,0;
01.06.2025;04:00;04:15;0,0;0,0;0,0;
01.06.2025;04:15;04:30;0,0;0,0;0,0;
01.06.2025;04:30;04:45;0,0;0,0;0,01;
01.06.2025;04:45;05:00;0,0;0,0;0,0;
01.06.2025;05:00;05:15;0,0;0,0;0,0;
01.06.2025;05:15;05:30;0,0;0,0;0,0;
01.06.2025;05:30;05:45;0,0;0,0;0,0;
01.06.2025;05:45;06:00;0,0;0,0;0,01;
01.06.2025;06:00;06:15;0,0;0,0;0,0;
01.06.2025;06:15;06:30;0,0;0,0;0,0;
01.06.2025;06:30;06:45;0,0;0,0;0,0;
01.06.2025;06:45;07:00;0,0;0,0;0,0;
01.06.2025;07:00;07:15;0,0;0,0;0,0;
01.06.2025;07:15;07:30;0,0;0,0;0,01;
01.06.2025;07:30;07:45;0,0;0,0;0,01;
01.06.2025;07:45;08:00;0,0;0,0;0,0;
01.06.2025;08:00;08:15;0,0;0,0;0,01;
01.06.2025;08:15;08:30;0,0;0,0;0,0;
01.06.2025;08:30;08:45;0,0;0,0;0,0;
01.06.2025;08:45;09:00;0,0;0,01;0,0;
01.06.2025;09:00;09:15;0,0;0,0;0,0;
01.06.2025;09:15;09:30;0,0;0,0;0,0;
01.06.2025;09:30;09:45;0,0;0,01;0,0;
01.06.2025;09:45;10:00;0,0;0,01;0,0;
01.06.2025;10:00;10:15;0,0;0,0;0,0;
01.06.2025;10:15;10:30;0,0;0,0;0,0;
01.06.2025;10:30;10:45;0,0;0,0;0,0;
01.06.2025;10:45;11:00;0,0;0,0;0,01;
01.06.2025;11:00;11:15;0,0;0,0;0,01;
01.06.2025;11:15;11:30;0,0;0,0;0,01;
01.06.2025;11:30;11:45;0,07;0,01;0,0;
01.06.2025;11:45;12:00;0,02;0,0;0,0;
01.06.2025;12:00;12:15;0,0;0,0;0,0;
01.06.2025;12:15;12:30;0,0;0,0;0,01;
01.06.2025;12:30;12:45;0,0;0,0;0,0;
01.06.2025;12:45;13:00;0,0;0,0;0,01;
01.06.2025;13:00;13:15;0,0;0,0;0,0;
01.06.2025;13:15;13:30;0,0;0,0;0,01;
01.06.2025;13:30;13:45;0,02;0,03;0,01;
